id,freq,grammar,sv,wclass,example
4213,1354,en,realitet,noun-en,
4214,1353,att,marknadsföra,verb,
4215,1353,,vitt,adverb,
4216,1353,,vrede,noun-en,
4217,,,satan,noun,
4218,1352,,statistisk,adjective,
4219,1352,,ödmjuk,adjective,
4220,1351,,i natt,adverb,
4221,1351,en,klarhet,noun-en,
4222,1351,,långsiktigt,adverb,
4223,1349,att,anstränga,verb,e.g. anstränga sig
4224,1348,,generös,adjective,
4225,1348,ett,mellanrum,noun-ett,
4226,1348,ett,sken,noun-ett,
4227,1348,en,upplösning,noun-en,
4228,1348,en,vistelse,noun-en,
4229,1347,att,växla,verb,
4230,1346,,strukturell,adjective,
4231,1343,att,förvärva,verb,
4232,1343,,regi,noun-en,
4233,,en,anka,noun-en,
4234,1342,en,redogörelse,noun-en,
4235,1342,,statsmakt,noun-en,
4236,1341,en,etta,noun-en,
4237,1341,,relativ,adjective,
4238,1341,,vindkraft,noun-en,
4239,1340,,imperialistisk,adjective,
4240,1340,en,måltid,noun-en,
4241,1339,,till synes,adverb,
4242,1338,att,belöna,verb,
4243,1338,att,importera,verb,
4244,1338,en,liter,noun-en,
4245,1338,,rentav,adverb,
4246,1338,en,stormakt,noun-en,
4247,1337,,samtida,adjective,
4248,1336,,legal,adjective,
4249,1336,,principiell,adjective,
4250,1336,,valfrihet,noun-en,
4251,1335,,tydlighet,noun-en,
4252,1335,en,växthusgas,noun-en,
4253,1333,ett,evenemang,noun-ett,
4254,1331,ett,lösenord,noun-ett,
4255,1330,en,dialekt,noun-en,
4256,1329,att,behärska,verb,
4257,1329,en,föregångare,noun-en,
4258,1329,,homosexualitet,noun-en,
4259,1329,,seg,adjective,
4260,1328,en,licens,noun-en,
4261,1328,,platt,adjective,
4262,1327,en,iver,noun-en,
4263,1326,en,resenär,noun-en,
4264,1326,att,utrota,verb,
4265,1325,att,uppfinna,verb,
4266,,en,cup,noun-en,
4267,,,omvänd,adjective,
4268,1324,en,dagordning,noun-en,
4269,1322,,perfekt,adverb,
4270,1322,en,splittring,noun-en,
4271,1321,att,inbilla,verb,e.g. inbilla sig
4272,1320,att,avge,verb,
4273,1320,ett,partnerskap,noun-ett,
4274,1319,att,löna sig,verb,
4275,1318,,brutal,adjective,
4276,1318,att,konstruera,verb,
4277,1318,,ärlighet,noun-en,
4278,1316,,bekväm,adjective,
4279,1316,en,presskonferens,noun-en,
4280,1315,,osannolik,adjective,
4281,1315,,totalitär,adjective,
4282,1315,att,åtgärda,verb,
4283,1314,en,flickvän,noun-en,
4284,1314,,norrut,adverb,
4285,1313,ett,arbetstillfälle,noun-ett,
4286,1313,ett,inträde,noun-ett,
4287,1313,att,släpa,verb,
4288,1313,ett,övervägande,noun-ett,
4289,1312,en,skilsmässa,noun-en,
4290,1311,att,utforska,verb,
4291,1308,,bildande,adjective,
4292,1308,en,tyngd,noun-en,
4293,1307,en,frälsare,noun-en,
4294,1307,att,invadera,verb,
4295,1307,en,personuppgift,noun-en,
4296,1306,,förhand,noun,e.g. på förhand
4297,1306,en,gruppering,noun-en,
4298,1306,,tekniskt,adverb,
4299,1305,en,dagstidning,noun-en,
4300,1305,,oacceptabel,adjective,
4301,1305,en,serb,noun-en,
4302,,,flytande,adjective,
4303,1304,att,justera,verb,
4304,1303,en,adel,noun-en,
4305,1303,en,konsult,noun-en,
4306,1303,,nervös,adjective,
4307,1302,en,sekt,noun-en,
4308,1302,en,slöja,noun-en,
4309,1302,,välkommen,interj,
4310,1301,att,läcka,verb,
4311,1300,en,afton,noun-en,e.g. god afton
4312,1300,en,introduktion,noun-en,
4313,1300,en,livstid,noun-en,
4314,1299,en,demonstrant,noun-en,
4315,1299,,flexibilitet,noun-en,
4316,1299,en,hed,noun-en,
4317,1298,,kol,noun-ett,
4318,1298,en,uppväxt,noun-en,
4319,1296,att,efterlysa,verb,
4320,1296,en,grönsak,noun-en,
4321,1296,att,samordna,verb,
4322,1294,,järn,noun-ett,
4323,1293,en,distribution,noun-en,
4324,1290,,automatisk,adjective,
4325,1290,en,transaktion,noun-en,
4326,1289,ett,däck,noun-ett,
4327,1289,en,observation,noun-en,
4328,1289,,typiskt,adverb,
4329,1288,en,inskränkning,noun-en,
4330,1288,att,mata,verb,
4331,1288,ett,paradis,noun-ett,
4332,1287,en,ingenjör,noun-en,
4333,1287,en,koncentration,noun-en,
4334,1287,ett,plus,noun-ett,
4335,1285,ett,dugg,noun-ett,e.g. inte ett dugg
4336,1285,,samtid,noun-en,
4337,1285,en,uppståndelse,noun-en,
4338,1284,,slaveri,noun-ett,
4339,1284,att,ålägga,verb,
4340,1283,att,framkalla,verb,
4341,1283,ett,utkast,noun-ett,
4342,,,framträdande,adjective,
4343,1282,,desperat,adjective,
4344,1282,,någon som helst,det,
4345,1279,,flitigt,adverb,
4346,1279,en,offensiv,noun-en,
4347,1279,en,sångare,noun-en,
4348,1278,ett,ingrepp,noun-ett,
4349,1278,,otalig,adjective,
4350,1277,ett,diagram,noun-ett,
4351,1277,att,inbjuda,verb,
4352,1277,,motivation,noun-en,
4353,1277,att,utplåna,verb,
4354,1276,en,gymnasieskola,noun-en,
4355,1275,att,bearbeta,verb,
4356,1275,en,förlåtelse,noun-en,
4357,1275,att,snurra,verb,
4358,1274,en,skildring,noun-en,
4359,1274,en,sändning,noun-en,
4360,,en,baby,noun-en,
4361,1273,att,förvara,verb,
4362,1273,en,rabatt,noun-en,
4363,1273,att,rota,verb,
4364,1272,en,apa,noun-en,
4365,1272,att,sammanställa,verb,
4366,1272,att,stirra,verb,
4367,1271,ett,avgörande,noun-ett,
4368,1271,en,manifestation,noun-en,
4369,1271,att,uppenbara,verb,e.g. uppenbara sig
4370,1270,att,maila,verb,
4371,1270,en,medmänniska,noun-en,
4372,1268,ett,genombrott,noun-ett,
4373,1268,,proletär,adjective,
4374,1266,en,fika,noun-en,
4375,1266,,spaning,noun-en,
4376,1265,att,beordra,verb,
4377,1265,att,förbinda,verb,
4378,1265,,jämförbar,adjective,
4379,1265,,socialt,adverb,
4380,1264,att,fullgöra,verb,
4381,1264,,förr eller senare,adverb,
4382,,en,palm,noun-en,
4383,1263,en,förvirring,noun-en,
4384,1263,en,privatisering,noun-en,
4385,1262,en,chock,noun-en,
4386,1261,,oundviklig,adjective,
4387,1261,,samtycke,noun-ett,
4388,1259,ett,förband,noun-ett,
4389,1258,att,missbruka,verb,
4390,1256,att,förvärra,verb,
4391,1256,en,investerare,noun-en,
4392,1256,,vackert,adverb,
4393,,,utbredd,adjective,
4394,1255,en,bio,noun-en,
4395,1255,en,oförmåga,noun-en,
4396,,,sammanlagd,adjective,
4397,1254,en,klippa,noun-en,
4398,,en,cd,noun-en,
4399,,en,knut,noun-en,
4400,1251,en,fras,noun-en,
4401,1251,att,indikera,verb,
4402,1251,,vardera,pronoun,
4403,1250,en,arrangör,noun-en,
4404,1250,en,profetia,noun-en,
4405,1249,,därutöver,adverb,
4406,1249,att,förnya,verb,
4407,1248,,hederlig,adjective,
4408,1248,att,inhämta,verb,
4409,1248,,skånsk,adjective,
4410,1247,,abstrakt,adjective,
4411,1247,att,dämpa,verb,
4412,1247,,tillhörighet,noun-en,
4413,1246,en,möbel,noun-en,
4414,1246,,ringa,adjective,
4415,1246,,sky,noun-en,
4416,1244,en,anvisning,noun-en,
4417,1243,en,hatt,noun-en,
4418,1243,,tokig,adjective,
4419,1242,ett,förvärv,noun-ett,
4420,1242,,"med flera (förk. m.fl., m fl)",adverb,
4421,1242,,omgående,adverb,
4422,1241,ett,bedrägeri,noun-ett,
4423,1241,att,mobilisera,verb,
4424,1240,en,signatur,noun-en,
4425,1240,,skälig,adjective,
4426,1239,att,expandera,verb,
4427,1239,att,förkunna,verb,
4428,1238,att,böja,verb,e.g. böja sig
4429,1238,att,förenkla,verb,
4430,1237,att,viga,verb,
4431,1236,en,justitieminister,noun-en,
4432,1235,en,fjärdedel,noun-en,
4433,1235,en,substans,noun-en,
4434,1235,att,tömma,verb,
4435,1235,att,utmärka,verb,e.g. utmärka sig
4436,1234,,ende,adjective,
4437,1234,en,förnyelse,noun-en,
4438,1234,,subjektiv,adjective,
4439,1232,en,burk,noun-en,
4440,1232,,human,adjective,
4441,1232,att,mista,verb,
4442,1232,en,sanktion,noun-en,
4443,1231,,fler och fler,pronoun,
4444,1231,en,omsättning,noun-en,
4445,1229,att,besitta,verb,
4446,1229,att,initiera,verb,
4447,1228,ett,skrivande,noun-ett,
4448,1227,,hänseende,noun-ett,
4449,1227,att,härstamma,verb,
4450,1226,en,censur,noun-en,
4451,1226,ett,kollektiv,noun-ett,
4452,1226,att,promenera,verb,
4453,1226,att,supa,verb,
4454,1225,en,legitimitet,noun-en,
4455,1224,ett,befäl,noun-ett,
4456,1222,en,sökande,noun-en,
4457,1221,en,pojkvän,noun-en,
4458,1221,att,poängtera,verb,
4459,1221,en,överträdelse,noun-en,
4460,1220,en,klimatfråga,noun-en,
4461,1220,ett,telefonsamtal,noun-ett,
4462,1218,en,beredskap,noun-en,
4463,1217,en,vers,noun-en,
4464,1216,en,monarki,noun-en,
4465,1216,att,ockupera,verb,
4466,1216,,skum,adjective,
4467,1216,,turism,noun-en,
4468,1214,en,befrielse,noun-en,
4469,1214,en,byxa,noun-en,
4470,1214,att,rekrytera,verb,
4471,1214,ett,sökande,noun-ett,
4472,1213,en,förmögenhet,noun-en,
4473,1213,,gången,adjective,
4474,1213,,liksom,subj,
4475,1213,ett,äpple,noun-ett,
4476,1212,en,höjdpunkt,noun-en,
4477,1211,en,sammanställning,noun-en,
4478,1211,,underhållning,noun-en,
4479,1211,en,uppbyggnad,noun-en,
4480,1210,ett,etablissemang,noun-ett,
4481,1210,,kontinuerligt,adverb,
4482,1210,att,krama,verb,
4483,1210,ett,missförstånd,noun-ett,
4484,1210,,nationalistisk,adjective,
4485,1210,en,obalans,noun-en,
4486,1209,,nyår,noun-ett,
4487,1208,,produktiv,adjective,
4488,1208,,till rätta,adverb,
4489,1207,en,avveckling,noun-en,
4490,1207,att,provocera,verb,
4491,,,erfaren,adjective,
4492,1206,,blank,adjective,
4493,1206,en,singel,noun-en,
4494,1203,,försörjning,noun-en,
4495,1203,,irländsk,adjective,
4496,1203,en,kurd,noun-en,
4497,1203,en,psykolog,noun-en,
4498,1203,att,samtala,verb,
4499,1203,ett,sekel,noun-ett,
4500,1202,,federal,adjective,
4501,1202,en,frustration,noun-en,
4502,1202,,fundamental,adjective,
4503,1202,att,omge,verb,
4504,1201,att,företa,verb,
4505,1201,ett,utdrag,noun-ett,
4506,1200,,fram och tillbaka,adverb,
4507,1200,,lågt,adverb,
4508,1200,ett,skal,noun-ett,
4509,1199,,irakisk,adjective,
4510,1199,en,parallell,noun-en,
4511,1198,ett,avslag,noun-ett,
4512,1198,,emellanåt,adverb,
4513,1198,en,källare,noun-en,
4514,1198,en,merpart,noun-en,
4515,1198,,vetskap,noun-en,
4516,1197,en,delägare,noun-en,
4517,1197,en,distans,noun-en,
4518,1197,att,eliminera,verb,
4519,1197,,i motsats till,prep,
4520,1197,,tolerans,noun-en,
4521,1196,en,krigare,noun-en,
4522,,att,bosätta,verb,
4523,1195,att,filma,verb,
4524,1195,ett,upplägg,noun-ett,
4525,1194,en,föda,noun-en,
4526,1194,en,överläggning,noun-en,
4527,1193,en,miss,noun-en,
4528,1193,en,moské,noun-en,
4529,1192,en,passion,noun-en,
4530,1192,en,zon,noun-en,
4531,1191,en,tunga,noun-en,
4532,1191,,vass,adjective,
4533,1190,en,klient,noun-en,
4534,1190,att,spana,verb,
4535,1190,en,utbetalning,noun-en,
4536,1189,,obetydlig,adjective,
4537,1188,,kurdisk,adjective,
4538,1187,,relevans,noun-en,
4539,1186,,förutsatt att,subj,
4540,1186,att,motarbeta,verb,
4541,1186,en,påtryckning,noun-en,
4542,1185,,efterföljande,adjective,
4543,1185,ett,nyhetsbrev,noun-ett,
4544,1185,ett,årsskifte,noun-ett,
4545,1184,en,avvikelse,noun-en,
4546,1184,att,tilltala,verb,
4547,1183,ett,stift,noun-ett,
4548,1182,,hemlös,adjective,
4549,1182,att,splittra,verb,
4550,1181,att,bosätta sig,verb,
4551,1180,en,bekräftelse,noun-en,
4552,1180,en,försvarsminister,noun-en,
4553,1179,att,dokumentera,verb,
4554,1179,,lydnad,noun-en,
4555,1179,en,tragedi,noun-en,
4556,1178,en,organism,noun-en,
4557,1178,en,socialtjänst,noun-en,e.g. socialtjänsten
4558,1178,att,tillskriva,verb,
4559,1177,en,humanist,noun-en,
4560,1177,,snett,adverb,
4561,1176,en,firma,noun-en,
4562,1176,en,förankring,noun-en,
4563,1176,,reporänta,noun-en,e.g. reporäntan
4564,1175,,sekulär,adjective,
4565,1174,,fortsättningsvis,adverb,
4566,1173,att,erfara,verb,
4567,1173,en,inblandning,noun-en,
4568,1173,,signalspaning,noun-en,
4569,1173,,svininfluensa,noun-en,
4570,1172,en,liknelse,noun-en,
4571,,,beväpnad,adjective,
4572,1171,,härligt,adverb,
4573,1170,ett,ingripande,noun-ett,
4574,1169,,pigg,adjective,
4575,1168,en,bebyggelse,noun-en,
4576,1168,,fysiskt,adverb,
4577,1168,,romantisk,adjective,
4578,1167,,ingående,adjective,
4579,1167,en,märkning,noun-en,
4580,1166,,lojalitet,noun-en,
4581,1166,en,penna,noun-en,
4582,1165,ett,får,noun-ett,
4583,1165,en,illustration,noun-en,
4584,1165,en,rock,noun-en,
4585,1164,ett,innehav,noun-ett,
4586,1163,en,tilltro,noun-en,
4587,,en,dvd,noun-en,
4588,1161,,bensin,noun-en,
4589,1161,att,bromsa,verb,
4590,1161,att,bråka,verb,
4591,1161,en,kula,noun-en,
4592,1161,,svält,noun-en,
4593,1160,en,klo,noun-en,
4594,1160,en,sektion,noun-en,
4595,1159,ett,avskaffande,noun-ett,
4596,1159,en,examen,noun-en,
4597,1158,,religionsfrihet,noun-en,
4598,1158,,utåt,adverb,
4599,1157,att,balansera,verb,
4600,1157,,heltid,noun-en,
4601,1157,,hemifrån,adverb,
4602,1157,att,stifta,verb,
4603,1157,,verkställande,adjective,
4604,1155,,asyl,noun,e.g. söka/få asyl
4605,1155,en,graviditet,noun-en,
4606,1155,att,korsa,verb,
4607,1154,att,avlägsna,verb,e.g. avlägsna sig
4608,1154,en,beställning,noun-en,
4609,1154,en,fasad,noun-en,
4610,1154,att,infinna sig,verb,
4611,1153,,hyfsat,adverb,
4612,1153,,julafton,noun-en,
4613,1153,,organisk,adjective,
4614,1153,att,åtnjuta,verb,
4615,1152,,för alltid,adverb,
4616,1151,,hemmaplan,noun-en,
4617,1151,ett,kloster,noun-ett,
4618,1150,att,förlita sig,verb,
4619,1150,att,förlägga,verb,
4620,1150,,spontan,adjective,
4621,1149,,informell,adjective,
4622,1148,,förvåning,noun-en,
4623,1148,att,iaktta,verb,
4624,1148,ett,körkort,noun-ett,
4625,1147,ett,försäkringsbolag,noun-ett,
4626,1146,ett,missnöje,noun-ett,
4627,1145,,etnicitet,noun-en,
4628,1144,en,inbjudan,noun-en,
4629,1143,,dyster,adjective,
4630,1143,,okunskap,noun-en,
4631,1142,,garanterat,adverb,
4632,1142,,sammanfattningsvis,adverb,
4633,1142,en,spark,noun-en,
4634,1141,en,arbetsdag,noun-en,
4635,1141,,silver,noun-ett,
4636,1140,,organisatorisk,adjective,
4637,1140,,slutgiltig,adjective,
4638,1140,,tungt,adverb,
4639,1139,att,bekänna,verb,
4640,1139,en,kostym,noun-en,
4641,1139,ett,schema,noun-ett,
4642,1138,,långtgående,adjective,
4643,1138,en,mask,noun-en,
4644,1138,,materiel,noun-en,
4645,1138,,mobbning,noun-en,
4646,1136,en,leksak,noun-en,
4647,1136,,spridd,adjective,
4648,1135,att,stava,verb,
4649,1135,,tillit,noun-en,
4650,1134,,modig,adjective,
4651,1134,ett,utbrott,noun-ett,
4652,1133,en,apparat,noun-en,
4653,1131,en,disk,noun-en,
4654,1131,ett,drama,noun-ett,
4655,1131,att,exportera,verb,
4656,1131,en,försoning,noun-en,
4657,1131,,universell,adjective,
4658,1130,ett,beroende,noun-ett,
4659,1130,att,surfa,verb,
4660,1129,en,diktator,noun-en,
4661,1129,en,passage,noun-en,
4662,,,inbyggd,adjective,
4663,1128,att,plåga,verb,
4664,1126,,strikt,adjective,
4665,1126,att,utlova,verb,
4666,1125,en,riksbank,noun-en,e.g. Riksbanken
4667,1125,att,återta,verb,
4668,1124,en,dokumentation,noun-en,
4669,1124,en,ingrediens,noun-en,
4670,1124,att,inträda,verb,
4671,1124,en,show,noun-en,
4672,1122,,bak,adverb,
4673,1122,en,delaktighet,noun-en,
4674,1121,,i viss mån,adverb,
4675,1121,en,odling,noun-en,
4676,1121,ett,vardagsrum,noun-ett,
4677,1120,,fascinerande,adjective,
4678,1120,en,kontext,noun-en,
4679,1118,en,lina,noun-en,
4680,1116,en,folkhögskola,noun-en,
4681,1116,ett,glasögon,noun-ett,(plural)
4682,1116,att,inviga,verb,
4683,1116,ett,rop,noun-ett,
4684,1116,,varannan,det,
4685,1114,en,disciplin,noun-en,
4686,1114,en,europé,noun-en,
4687,1114,en,härskare,noun-en,
4688,1114,en,återkomst,noun-en,
4689,1113,,i fred,adverb,
4690,1112,,kompensation,noun-en,
4691,1112,,representativ,adjective,
4692,1112,att,strömma,verb,
4693,1111,att,kartlägga,verb,
4694,1110,,systematiskt,adverb,
4695,1109,,i relation till,prep,
4696,1109,,uppe,particle,
4697,1109,en,yxa,noun-en,
4698,1108,en,bevakning,noun-en,
4699,1108,en,missionär,noun-en,
4700,1108,,rätta,noun,e.g. inför rätta
4701,1107,en,bekännelse,noun-en,
4702,1107,,ensidig,adjective,
4703,1107,en,högtid,noun-en,
4704,1107,,institutionell,adjective,
4705,1107,,psykiskt,adverb,
4706,1107,en,skjorta,noun-en,
4707,1107,,under förutsättning att,subj,
4708,1106,,rehabilitering,noun-en,
4709,1106,en,skärgård,noun-en,
4710,1106,att,övervinna,verb,
4711,1105,en,enkät,noun-en,
4712,1105,en,garderob,noun-en,
4713,1105,en,läxa,noun-en,
4714,1105,,med avseende på,prep,
4715,1104,en,trumma,noun-en,
4716,1103,en,pol,noun-en,
4717,1102,,choklad,noun-en,
4718,1102,en,återhämtning,noun-en,
4719,1100,en,bakterie,noun-en,
4720,1100,en,exploatering,noun-en,
4721,1100,ett,kärnkraftverk,noun-ett,
4722,1100,en,stig,noun-en,
4723,1099,,primär,adjective,
4724,1099,en,republikan,noun-en,
4725,1098,en,gestalt,noun-en,
4726,1098,,konstitutionell,adjective,
4727,1097,,avslutningsvis,adverb,
4728,1097,en,indian,noun-en,
4729,1096,,ingenstans,adverb,
4730,1096,,nuförtiden (el. nu för tiden),adverb,
4731,1094,en,runda,noun-en,
4732,1093,,baltisk,adjective,
4733,1093,en,farfar,noun-en,
4734,1093,att,förtydliga,verb,
4735,1093,en,gärningsman,noun-en,
4736,1093,en,succé,noun-en,
4737,1093,en,tröst,noun-en,
4738,1092,en,epok,noun-en,
4739,1092,en,intention,noun-en,
4740,1092,en,nedskärning,noun-en,
4741,1092,,tillika,adverb,
4742,1091,en,remiss,noun-en,
4743,1091,att,skåda,verb,
4744,1090,att,bevittna,verb,
4745,1090,en,främling,noun-en,
4746,1090,,juridik,noun-en,
4747,1090,en,utvisning,noun-en,
4748,1089,,folkrätt,noun-en,
4749,1089,,legitim,adjective,
4750,1088,ett,bostadsområde,noun-ett,
4751,1088,,egyptisk,adjective,
4752,1088,,glatt,adverb,
4753,1088,en,hyresgäst,noun-en,
4754,1088,,radikalt,adverb,
4755,1088,en,vinge,noun-en,
4756,1087,att,klassa,verb,
4757,1087,en,legend,noun-en,
4758,1085,ett,öre,noun-ett,
4759,1084,,nazistisk,adjective,
4760,1084,,varsin,pronoun,
4761,1083,att,begrava,verb,
4762,1083,en,funktionsnedsättning,noun-en,
4763,1083,,kontra,prep,
4764,1082,,persisk,adjective,
4765,1081,ett,tillskott,noun-ett,
4766,1080,ett,klagomål,noun-ett,
4767,1080,ett,konstverk,noun-ett,
4768,1080,,kortsiktig,adjective,
4769,,,avliden,adjective,
4770,1079,en,backe,noun-en,
4771,1079,en,förespråkare,noun-en,
4772,1079,en,indikator,noun-en,
4773,1079,,nutida,adjective,
4774,1078,en,textstorlek,noun-en,
4775,,att,åta,verb,
4776,1077,,asiatisk,adjective,
4777,1077,en,meny,noun-en,
4778,1077,,muntlig,adjective,
4779,1077,,nedre,adjective,
4780,1077,en,regeringsform,noun-en,e.g. regeringsformen
4781,1076,,otrevlig,adjective,
4782,1076,en,publikation,noun-en,
4783,1075,en,halt,noun-en,
4784,1074,en,borg,noun-en,
4785,1074,en,pedofil,noun-en,
4786,1074,ett,porträtt,noun-ett,
4787,1074,,utomstående,adjective,
4788,1072,,ironi,noun-en,
4789,1072,att,manipulera,verb,
4790,1071,,afghansk,adjective,
4791,1071,,jag,noun-ett,
4792,1071,,utomhus,adverb,
4793,1070,ett,privilegium,noun-ett,
4794,1069,en,rensning,noun-en,
4795,1068,en,etapp,noun-en,
4796,1067,att,minimera,verb,
4797,1067,,till fullo,adverb,
4798,1066,,representation,noun-en,
4799,1065,,latin,noun-ett,
4800,1063,,måhända,adverb,
4801,1063,,serbisk,adjective,
4802,1061,,estetisk,adjective,
4803,1061,att,explodera,verb,
4804,1061,en,folkrörelse,noun-en,
4805,1061,en,grundare,noun-en,
4806,1061,en,konspiration,noun-en,
4807,1061,,kritiskt,adverb,
4808,1061,en,kurva,noun-en,
4809,1060,att,operera,verb,
4810,1060,en,turné,noun-en,
4811,1059,en,åskådare,noun-en,
4812,,en,forntid,noun-en,
4813,1058,en,alliansregering,noun-en,
4814,1058,,framgångsrikt,adverb,
4815,1058,,ovan,prep,
4816,1058,en,robot,noun-en,
4817,1057,en,försvarare,noun-en,
4818,1057,ett,landslag,noun-ett,
4819,1057,,proportion,noun-en,
4820,1057,en,verkstad,noun-en,
4821,1056,en,ask,noun-en,
4822,1056,att,bomba,verb,
4823,1056,,jeans,noun-en,
4824,1056,en,jordbävning,noun-en,
4825,1055,en,ratt,noun-en,
4826,,,brant,adjective,
4827,1054,en,befälhavare,noun-en,
4828,1054,en,bot,noun-en,
4829,1054,en,dusch,noun-en,
4830,1054,,konsensus,noun-en,
4831,1054,,könsneutral,adjective,
4832,1053,att,våldta,verb,
4833,1051,att,skruva,verb,
4834,1050,att,slutföra,verb,
4835,1050,att,återspegla,verb,
4836,1049,ett,eko,noun-ett,
4837,1049,en,horisont,noun-en,
4838,1048,att,inkomma,verb,
4839,1048,ett,ministerråd,noun-ett,
4840,1047,en,beslutsfattare,noun-en,
4841,1047,en,suck,noun-en,
4842,1047,att,utlösa,verb,
4843,1046,ett,flygbolag,noun-ett,
4844,1046,en,spegel,noun-en,
4845,1045,,konventionell,adjective,
4846,1045,,metall,noun-en,
4847,,,återstående,adjective,
4848,1044,,i fjol,adverb,
4849,1044,en,lönsamhet,noun-en,
4850,1044,,vari,adverb,
4851,,,balanserad,adjective,
4852,1043,,antiken,noun,
4853,1043,,innovativ,adjective,
4854,1043,att,utnämna,verb,
4855,1042,,islamistisk,adjective,
4856,1042,att,pricka,verb,
4857,1041,en,tunnel,noun-en,
4858,1040,,avreglering,noun-en,
4859,1040,,bristfällig,adjective,
4860,1040,,ensamstående,adjective,
4861,1040,,inomhus,adverb,
4862,1040,,kapabel,adjective,
4863,1039,,autonom,adjective,
4864,1039,,mekanisk,adjective,
4865,,,övertygande,adjective,
4866,1037,,kvarvarande,adjective,
4867,1037,,vägnar,noun,e.g. på/å ngns vägnar
4868,1036,att,befara,verb,
4869,1036,att,beundra,verb,
4870,1036,ett,förfall,noun-ett,
4871,1035,ett,toppmöte,noun-ett,
4872,1035,ett,trakasseri,noun-ett,
4873,1034,en,kupp,noun-en,
4874,1033,att,bistå,verb,
4875,1033,att,sno,verb,
4876,1032,,genuin,adjective,
4877,1032,,nuläge,noun-ett,e.g. i nuläget
4878,1032,en,ros,noun-en,
4879,1032,en,tittare,noun-en,
4880,1032,,trasig,adjective,
4881,1031,en,check,noun-en,
4882,1031,,irrelevant,adjective,
4883,1031,,moraliskt,adverb,
4884,1031,,överlag,adverb,
4885,1030,,förstånd,noun-ett,
4886,1029,en,blockad,noun-en,
4887,1029,,nutid,noun-en,
4888,1029,en,omställning,noun-en,
4889,1028,en,rumpa,noun-en,
4890,1027,,förebyggande,adjective,
4891,1027,en,notis,noun-en,
4892,1026,ett,mejl,noun-ett,
4893,1026,,moms,noun-en,
4894,1026,ett,samspel,noun-ett,
4895,1025,ett,aktiebolag,noun-ett,
4896,1025,en,jävel,noun-en,(stötande)
4897,1025,en,ledighet,noun-en,
4898,1025,,prat,noun-ett,
4899,1025,,uppför,prep,
4900,1024,ett,riksdagsbeslut,noun-ett,
4901,1023,en,balkong,noun-en,
4902,1023,en,glass,noun-en,
4903,1023,en,kallelse,noun-en,
